Placement,ID,Gender,Athlete,Sport,Previous Instructor,Illegal Sections,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
Section-20,71,F,,,,,Section-14,Section-27,Section-20,Section-26,Section-8,Section-7
,72,M,,,,,Section-19,Section-1,Section-17,Section-33,Section-35,Section-9
,73,F,,,,,Section-13,Section-23,Section-7,Section-30,Section-2,Section-5
,74,F,,,,,Section-25,Section-28,Section-32,Section-4,Section-5,Section-11
,75,M,Y,,,,Section-17,Section-3,Section-11,Section-28,Section-18,Section-13
,76,F,Y,,,,Section-20,Section-34,Section-26,Section-4,Section-30,Section-2
,77,F,,,,,Section-25,Section-19,Section-6,Section-12,Section-31,Section-35
,78,F,Y,,,,Section-24,Section-27,Section-11,Section-2,Section-5,Section-13
,79,M,Y,,,,Section-16,Section-9,Section-10,Section-8,Section-14,Section-11
,80,F,,,,,Section-33,Section-9,Section-25,Section-29,Section-15,Section-4
,81,F,,,,,Section-7,Section-11,Section-17,Section-35,Section-30,Section-4
,82,F,,,,,Section-18,Section-35,Section-3,Section-20,Section-22,Section-25
,83,M,Y,,,,Section-8,Section-2,Section-7,Section-11,Section-15,Section-20
,84,F,,,,,Section-15,Section-33,Section-9,Section-30,Section-18,Section-12
,85,F,,,,,Section-24,Section-27,Section-22,Section-11,Section-5,Section-19
,86,M,,,,,Section-31,Section-17,Section-3,Section-2,Section-35,Section-26
,87,M,,,,,Section-30,Section-20,Section-17,Section-3,Section-33,Section-4
Section-33,88,F,,,,,Section-32,Section-7,Section-33,Section-6,Section-12,Section-34
Section-7,89,F,Y,,,,Section-4,Section-34,Section-7,Section-5,Section-17,Section-3
,90,F,Y,,,,Section-17,Section-20,Section-28,Section-32,Section-15,Section-35
,91,M,Y,,,,Section-2,Section-17,Section-22,Section-11,Section-12,Section-3
,92,M,Y,,,,Section-22,Section-5,Section-25,Section-20,Section-28,Section-26
Section-35,93,M,,,,,Section-17,Section-35,Section-31,Section-25,Section-28,Section-24
,94,M,,,,,Section-16,Section-34,Section-4,Section-19,Section-33,Section-18
,95,M,,,,,Section-21,Section-24,Section-12,Section-28,Section-2,Section-17
,96,F,,,,,Section-28,Section-3,Section-26,Section-35,Section-7,Section-2
,97,M,,,,,Section-29,Section-11,Section-1,Section-2,Section-34,Section-25
,98,F,,,,,Section-30,Section-25,Section-35,Section-12,Section-20,Section-3
,99,F,,,,,Section-1,Section-21,Section-12,Section-29,Section-34,Section-24
,100,F,,,,,Section-35,Section-27,Section-32,Section-13,Section-12,Section-10
,101,M,,,,,Section-13,Section-29,Section-34,Section-33,Section-9,Section-3
,102,F,,,,,Section-1,Section-31,Section-22,Section-35,Section-5,Section-25
,103,F,Y,,,,Section-17,Section-26,Section-7,Section-25,Section-2,Section-10
,104,F,,,,,Section-10,Section-30,Section-14,Section-3,Section-33,Section-5
,105,M,Y,,,,Section-5,Section-17,Section-33,Section-6,Section-16,Section-2
,106,F,,,,,Section-6,Section-17,Section-10,Section-26,Section-31,Section-7
Section-27,107,F,Y,,,,Section-29,Section-27,Section-2,Section-6,Section-26,Section-12
,108,M,,,,,Section-10,Section-31,Section-32,Section-35,Section-27,Section-33
,109,M,,,,,Section-4,Section-2,Section-20,Section-24,Section-7,Section-5
,110,F,,,,,Section-31,Section-3,Section-14,Section-32,Section-19,Section-1
,111,F,Y,,,,Section-14,Section-7,Section-25,Section-27,Section-24,Section-32
,112,M,,,,,Section-14,Section-28,Section-17,Section-4,Section-34,Section-8
,113,F,Y,,,,Section-32,Section-20,Section-5,Section-31,Section-33,Section-3
,114,F,,,,,Section-25,Section-5,Section-24,Section-11,Section-32,Section-7
,115,F,,,,,Section-23,Section-11,Section-31,Section-25,Section-27,Section-14
,116,F,Y,,,,Section-26,Section-24,Section-30,Section-19,Section-11,Section-13
,117,M,,,,,Section-13,Section-19,Section-30,Section-14,Section-35,Section-27
,118,M,,,,,Section-35,Section-28,Section-24,Section-34,Section-21,Section-31
,119,F,,,,,Section-3,Section-7,Section-28,Section-25,Section-8,Section-6
,120,F,,,,,Section-3,Section-35,Section-10,Section-21,Section-17,Section-32
,121,M,,,,,Section-27,Section-16,Section-15,Section-25,Section-1,Section-10
,122,F,,,,,Section-17,Section-1,Section-3,Section-35,Section-19,Section-27
,123,F,,,,,Section-14,Section-5,Section-7,Section-34,Section-3,Section-11
,124,M,,,,,Section-17,Section-33,Section-26,Section-29,Section-28,Section-20
,125,F,,,,,Section-17,Section-6,Section-7,Section-19,Section-18,Section-34
,126,F,,,,,Section-15,Section-35,Section-29,Section-12,Section-2,Section-26
,127,F,Y,,,,Section-27,Section-6,Section-21,Section-25,Section-14,Section-33
,128,M,,,,,Section-7,Section-22,Section-25,Section-35,Section-32,Section-11
,129,F,,,,,Section-19,Section-6,Section-25,Section-3,Section-28,Section-20
,130,F,,,,,Section-12,Section-31,Section-6,Section-25,Section-10,Section-35
,131,M,,,,,Section-24,Section-23,Section-19,Section-32,Section-27,Section-16
,132,F,Y,,,,Section-14,Section-34,Section-35,Section-27,Section-4,Section-31
Section-35,133,M,,,,,Section-30,Section-33,Section-35,Section-15,Section-28,Section-25
,134,M,,,,,Section-3,Section-14,Section-31,Section-25,Section-33,Section-4
,135,M,Y,,,,Section-14,Section-10,Section-26,Section-23,Section-21,Section-19
,136,F,Y,,,,Section-3,Section-13,Section-34,Section-22,Section-11,Section-2
,137,F,,,,,Section-32,Section-22,Section-31,Section-29,Section-7,Section-27
Section-20,138,F,,,,,Section-20,Section-10,Section-4,Section-28,Section-2,Section-16
,139,M,,,,,Section-11,Section-20,Section-22,Section-6,Section-8,Section-31
,140,F,,,,,Section-32,Section-18,Section-16,Section-9,Section-35,Section-28
,141,M,,,,,Section-16,Section-10,Section-7,Section-6,Section-20,Section-30
,142,F,,,,,Section-26,Section-27,Section-16,Section-1,Section-7,Section-34
,143,F,,,,,Section-13,Section-30,Section-31,Section-21,Section-11,Section-25
,144,F,,,,,Section-16,Section-13,Section-7,Section-35,Section-29,Section-34
Section-34,145,M,,,,,Section-34,Section-26,Section-35,Section-17,Section-19,Section-30
,146,M,Y,,,,Section-20,Section-15,Section-32,Section-24,Section-4,Section-21
,147,F,Y,,,,Section-14,Section-4,Section-1,Section-20,Section-15,Section-27
,148,F,,,,,Section-22,Section-33,Section-5,Section-2,Section-14,Section-19
,149,M,,,,,Section-5,Section-7,Section-32,Section-27,Section-28,Section-17
,150,F,,,,,Section-9,Section-7,Section-24,Section-27,Section-21,Section-12
,151,F,,,,,Section-4,Section-17,Section-23,Section-14,Section-35,Section-10
,152,F,Y,,,,Section-4,Section-31,Section-2,Section-19,Section-6,Section-16
,153,F,Y,,,,Section-2,Section-34,Section-8,Section-6,Section-3,Section-11
,154,M,,,,,Section-23,Section-9,Section-27,Section-17,Section-6,Section-29
,155,M,Y,,,,Section-22,Section-31,Section-12,Section-17,Section-15,Section-19
,156,F,,,,,Section-34,Section-17,Section-20,Section-6,Section-1,Section-27
,157,F,Y,,,,Section-2,Section-32,Section-25,Section-22,Section-3,Section-28
,158,F,,,,,Section-9,Section-3,Section-14,Section-7,Section-25,Section-6
,159,F,Y,,,,Section-17,Section-22,Section-12,Section-30,Section-28,Section-5
,160,M,,,,,Section-5,Section-15,Section-27,Section-30,Section-23,Section-14
,161,M,Y,,,,Section-23,Section-5,Section-26,Section-29,Section-18,Section-25
,162,F,,,,,Section-23,Section-28,Section-1,Section-14,Section-4,Section-20
,163,M,,,,,Section-2,Section-3,Section-10,Section-35,Section-15,Section-18
,164,F,Y,,,,Section-4,Section-24,Section-17,Section-19,Section-26,Section-18
,165,F,,,,,Section-19,Section-25,Section-21,Section-28,Section-29,Section-18
,166,F,Y,,,,Section-3,Section-33,Section-28,Section-5,Section-32,Section-31
Section-2,167,M,,,,,Section-24,Section-2,Section-16,Section-18,Section-23,Section-31
,168,F,Y,,,,Section-24,Section-11,Section-26,Section-8,Section-16,Section-10
,169,F,,,,,Section-26,Section-27,Section-13,Section-32,Section-16,Section-30
,170,F,,,,,Section-17,Section-13,Section-20,Section-23,Section-22,Section-7
,171,M,Y,,,,Section-10,Section-34,Section-1,Section-7,Section-2,Section-29
Section-7,172,M,,,,,Section-3,Section-7,Section-33,Section-20,Section-18,Section-24
,173,M,,,,,Section-12,Section-35,Section-24,Section-10,Section-15,Section-20
,174,F,Y,,,,Section-1,Section-23,Section-9,Section-24,Section-20,Section-25
,175,F,,,,,Section-12,Section-17,Section-9,Section-27,Section-35,Section-7
,176,F,,,,,Section-9,Section-16,Section-10,Section-14,Section-20,Section-30
,177,F,Y,,,,Section-26,Section-17,Section-11,Section-34,Section-8,Section-3
,178,F,,,,,Section-12,Section-34,Section-13,Section-1,Section-19,Section-16
,179,M,Y,,,,Section-9,Section-23,Section-20,Section-31,Section-19,Section-34
,180,M,Y,,,,Section-12,Section-15,Section-29,Section-33,Section-30,Section-14
,181,F,,,,,Section-30,Section-31,Section-22,Section-13,Section-4,Section-8
,182,M,,,,,Section-1,Section-25,Section-30,Section-8,Section-31,Section-12
,183,M,,,,,Section-13,Section-25,Section-22,Section-23,Section-31,Section-8
,184,F,,,,,Section-21,Section-34,Section-15,Section-7,Section-30,Section-17
,185,F,,,,,Section-20,Section-21,Section-7,Section-29,Section-35,Section-5
,186,F,Y,,,,Section-13,Section-35,Section-23,Section-2,Section-18,Section-6
Section-26,187,F,,,,,Section-15,Section-10,Section-26,Section-28,Section-9,Section-33
,188,F,,,,,Section-28,Section-25,Section-17,Section-26,Section-14,Section-21
,189,M,,,,,Section-31,Section-24,Section-34,Section-33,Section-25,Section-7
,190,M,Y,,,,Section-27,Section-21,Section-29,Section-3,Section-4,Section-24
,191,F,,,,,Section-30,Section-27,Section-15,Section-4,Section-24,Section-34
,192,F,,,,,Section-22,Section-17,Section-3,Section-12,Section-6,Section-30
,193,M,,,,,Section-6,Section-3,Section-5,Section-11,Section-30,Section-24
,194,M,Y,,,,Section-19,Section-29,Section-20,Section-11,Section-6,Section-32
,195,F,,,,,Section-21,Section-1,Section-16,Section-27,Section-10,Section-7
,196,F,,,,,Section-16,Section-13,Section-30,Section-29,Section-11,Section-24
Section-19,197,F,,,,,Section-4,Section-19,Section-16,Section-13,Section-29,Section-35
,198,M,,,,,Section-15,Section-18,Section-1,Section-11,Section-16,Section-33
,199,F,,,,,Section-32,Section-2,Section-4,Section-18,Section-30,Section-22
,200,M,,,,,Section-12,Section-35,Section-19,Section-6,Section-31,Section-34
,201,F,,,,,Section-23,Section-11,Section-16,Section-19,Section-5,Section-25
,202,M,,,,,Section-18,Section-7,Section-16,Section-24,Section-4,Section-22
,203,F,,,,,Section-29,Section-13,Section-17,Section-30,Section-5,Section-16
,204,F,,,,,Section-33,Section-8,Section-25,Section-1,Section-6,Section-31
,205,M,,,,,Section-17,Section-15,Section-6,Section-22,Section-9,Section-34
,206,F,,,,,Section-1,Section-12,Section-23,Section-8,Section-19,Section-30
,207,M,Y,,,,Section-32,Section-12,Section-35,Section-15,Section-2,Section-29
,208,F,,,,,Section-29,Section-4,Section-8,Section-26,Section-12,Section-32
,209,F,,,,,Section-34,Section-28,Section-30,Section-19,Section-27,Section-24
,210,F,,,,,Section-21,Section-10,Section-6,Section-1,Section-20,Section-12
,211,M,,,,,Section-11,Section-23,Section-3,Section-31,Section-32,Section-2
,212,F,,,,,Section-14,Section-10,Section-25,Section-30,Section-34,Section-9
,213,M,,,,,Section-32,Section-1,Section-14,Section-22,Section-24,Section-34
,214,M,,,,,Section-33,Section-8,Section-29,Section-14,Section-21,Section-34
,215,F,,,,,Section-20,Section-11,Section-7,Section-9,Section-15,Section-13
Section-3,216,F,Y,,,,Section-3,Section-35,Section-22,Section-11,Section-4,Section-13
,217,M,,,,,Section-15,Section-17,Section-35,Section-25,Section-33,Section-23
,218,F,,,,,Section-19,Section-9,Section-8,Section-12,Section-11,Section-3
,219,F,,,,,Section-14,Section-17,Section-18,Section-7,Section-33,Section-15
,220,F,,,,,Section-14,Section-23,Section-18,Section-3,Section-8,Section-24
,221,M,,,,,Section-15,Section-18,Section-10,Section-12,Section-17,Section-20
,222,M,,,,,Section-23,Section-24,Section-26,Section-2,Section-33,Section-11
,223,M,,,,,Section-22,Section-15,Section-7,Section-34,Section-32,Section-11
,224,F,,,,,Section-20,Section-25,Section-4,Section-33,Section-17,Section-34
,225,F,,,,,Section-2,Section-34,Section-25,Section-11,Section-21,Section-28
,226,F,,,,,Section-17,Section-26,Section-10,Section-30,Section-15,Section-18
,227,F,,,,,Section-2,Section-16,Section-18,Section-25,Section-34,Section-17
,228,F,,,,,Section-19,Section-6,Section-31,Section-30,Section-21,Section-33
,229,M,,,,,Section-11,Section-12,Section-3,Section-24,Section-5,Section-32
,230,M,,,,,Section-19,Section-14,Section-9,Section-15,Section-30,Section-33
,231,F,,,,,Section-27,Section-1,Section-19,Section-21,Section-8,Section-30
,232,M,,,,,Section-17,Section-25,Section-7,Section-32,Section-30,Section-26
,233,M,,,,,Section-16,Section-14,Section-23,Section-18,Section-9,Section-20
,234,F,,,,,Section-10,Section-12,Section-13,Section-14,Section-33,Section-18
,235,M,,,,,Section-20,Section-18,Section-21,Section-19,Section-3,Section-28
,236,F,Y,,,,Section-4,Section-9,Section-32,Section-24,Section-10,Section-19
,237,F,,,,,Section-20,Section-9,Section-7,Section-15,Section-16,Section-12
,238,M,,,,,Section-27,Section-15,Section-20,Section-26,Section-10,Section-1
,239,F,,,,,Section-32,Section-12,Section-8,Section-5,Section-28,Section-29
,240,F,,,,,Section-16,Section-34,Section-2,Section-20,Section-5,Section-14
Section-1,241,F,,,,,Section-11,Section-1,Section-29,Section-2,Section-30,Section-20
,242,F,,,,,Section-25,Section-22,Section-23,Section-15,Section-33,Section-7
Section-6,243,M,Y,,,,Section-17,Section-20,Section-6,Section-4,Section-7,Section-21
,244,F,,,,,Section-4,Section-20,Section-27,Section-19,Section-5,Section-32
,245,F,Y,,,,Section-29,Section-33,Section-27,Section-11,Section-14,Section-25
,246,M,,,,,Section-17,Section-22,Section-4,Section-14,Section-11,Section-27
,247,F,,,,,Section-12,Section-14,Section-24,Section-18,Section-21,Section-5
,248,F,Y,,,,Section-18,Section-8,Section-28,Section-3,Section-20,Section-34
,249,F,,,,,Section-26,Section-19,Section-21,Section-34,Section-32,Section-31
,250,F,Y,,,,Section-11,Section-17,Section-23,Section-7,Section-28,Section-21
,251,M,,,,,Section-4,Section-35,Section-16,Section-21,Section-18,Section-5
,252,F,,,,,Section-27,Section-19,Section-32,Section-14,Section-1,Section-17
,253,M,,,,,Section-6,Section-11,Section-10,Section-26,Section-21,Section-4
,254,F,,,,,Section-15,Section-28,Section-8,Section-16,Section-11,Section-34
,255,F,,,,,Section-24,Section-2,Section-16,Section-12,Section-28,Section-13
,256,F,,,,,Section-14,Section-3,Section-8,Section-20,Section-10,Section-19
,257,F,,,,,Section-6,Section-26,Section-17,Section-9,Section-28,Section-33
,258,F,,,,,Section-11,Section-17,Section-21,Section-9,Section-30,Section-7
,259,F,,,,,Section-20,Section-27,Section-3,Section-10,Section-2,Section-18
,260,F,,,,,Section-29,Section-8,Section-5,Section-30,Section-26,Section-13
Section-6,261,M,Y,,,,Section-6,Section-12,Section-22,Section-27,Section-25,Section-4
,262,F,Y,,,,Section-16,Section-22,Section-2,Section-6,Section-19,Section-23
,263,M,,,,,Section-26,Section-3,Section-15,Section-25,Section-17,Section-2
,264,M,,,,,Section-29,Section-26,Section-35,Section-13,Section-30,Section-12
,265,M,,,,,Section-9,Section-31,Section-19,Section-20,Section-12,Section-35
,266,M,Y,,,,Section-34,Section-3,Section-7,Section-10,Section-24,Section-25
,267,F,,,,,Section-17,Section-2,Section-12,Section-16,Section-11,Section-30
Section-32,268,M,,,,,Section-31,Section-32,Section-3,Section-15,Section-35,Section-21
Section-20,269,M,,,,,Section-4,Section-20,Section-35,Section-17,Section-1,Section-21
,270,M,,,,,Section-31,Section-19,Section-9,Section-5,Section-2,Section-12
,271,M,Y,,,,Section-26,Section-29,Section-14,Section-20,Section-19,Section-11
,272,F,Y,,,,Section-22,Section-1,Section-12,Section-11,Section-21,Section-4
Section-5,273,F,Y,,,,Section-29,Section-5,Section-30,Section-11,Section-32,Section-7
,274,F,Y,,,,Section-34,Section-23,Section-29,Section-1,Section-26,Section-35
,275,M,,,,,Section-19,Section-10,Section-6,Section-14,Section-5,Section-1
,276,F,,,,,Section-32,Section-3,Section-29,Section-2,Section-11,Section-16
,277,M,Y,,,,Section-31,Section-20,Section-35,Section-25,Section-5,Section-7
,278,F,,,,,Section-2,Section-12,Section-30,Section-19,Section-29,Section-22
,279,M,Y,,,,Section-24,Section-18,Section-22,Section-3,Section-11,Section-25
,280,F,,,,,Section-5,Section-13,Section-28,Section-34,Section-9,Section-24
,281,F,,,,,Section-10,Section-24,Section-23,Section-20,Section-12,Section-18
,282,F,,,,,Section-32,Section-23,Section-14,Section-8,Section-34,Section-3
,283,F,,,,,Section-9,Section-22,Section-32,Section-2,Section-27,Section-25
,284,M,Y,,,,Section-28,Section-19,Section-13,Section-11,Section-12,Section-30
,285,F,Y,,,,Section-20,Section-17,Section-27,Section-14,Section-15,Section-26
,286,F,,,,,Section-34,Section-27,Section-24,Section-21,Section-23,Section-8
,287,F,,,,,Section-13,Section-6,Section-22,Section-8,Section-35,Section-24
,288,F,,,,,Section-13,Section-6,Section-24,Section-4,Section-35,Section-28
,289,M,,,,,Section-12,Section-19,Section-7,Section-24,Section-8,Section-15
,290,M,Y,,,,Section-20,Section-12,Section-5,Section-34,Section-13,Section-29
,291,F,,,,,Section-19,Section-14,Section-16,Section-21,Section-1,Section-11
,292,M,,,,,Section-12,Section-1,Section-17,Section-26,Section-25,Section-30
,293,M,Y,,,,Section-34,Section-30,Section-25,Section-24,Section-18,Section-33
,294,M,,,,,Section-17,Section-34,Section-28,Section-10,Section-15,Section-16
,295,M,,,,,Section-28,Section-16,Section-6,Section-10,Section-30,Section-25
,296,F,,,,,Section-9,Section-1,Section-19,Section-6,Section-30,Section-2
,297,F,Y,,,,Section-3,Section-5,Section-19,Section-31,Section-8,Section-30
,298,F,,,,,Section-34,Section-9,Section-14,Section-8,Section-35,Section-33
,299,M,Y,,,,Section-24,Section-17,Section-16,Section-14,Section-20,Section-31
,300,M,Y,,,,Section-22,Section-10,Section-19,Section-11,Section-6,Section-14
,301,M,,,,,Section-12,Section-2,Section-10,Section-21,Section-33,Section-9
,302,M,,,,,Section-19,Section-15,Section-32,Section-22,Section-4,Section-2
,303,F,,,,,Section-15,Section-27,Section-10,Section-30,Section-34,Section-31
,304,M,,,,,Section-23,Section-32,Section-18,Section-4,Section-30,Section-33
,305,F,Y,,,,Section-19,Section-28,Section-33,Section-30,Section-18,Section-9
,306,F,,,,,Section-10,Section-28,Section-19,Section-22,Section-11,Section-26
,307,M,,,,,Section-1,Section-30,Section-4,Section-15,Section-35,Section-28
,308,M,,,,,Section-21,Section-35,Section-9,Section-32,Section-19,Section-6
,309,F,,,,,Section-15,Section-29,Section-19,Section-28,Section-5,Section-17
,310,M,Y,,,,Section-30,Section-16,Section-6,Section-1,Section-21,Section-29
,311,M,,,,,Section-31,Section-22,Section-15,Section-29,Section-3,Section-30
,312,F,Y,,,,Section-21,Section-8,Section-3,Section-15,Section-14,Section-31
,313,F,,,,,Section-17,Section-2,Section-11,Section-16,Section-24,Section-15
,314,F,,,,,Section-25,Section-4,Section-10,Section-29,Section-31,Section-5
,315,M,Y,,,,Section-33,Section-8,Section-19,Section-32,Section-6,Section-14
,316,F,,,,,Section-27,Section-34,Section-29,Section-31,Section-6,Section-30
,317,F,Y,,,,Section-17,Section-23,Section-30,Section-26,Section-22,Section-13
,318,F,,,,,Section-25,Section-6,Section-23,Section-32,Section-9,Section-5
,319,M,,,,,Section-27,Section-7,Section-4,Section-21,Section-8,Section-30
,320,M,,,,,Section-3,Section-28,Section-22,Section-18,Section-34,Section-12
,321,F,,,,,Section-33,Section-3,Section-34,Section-4,Section-22,Section-20
,322,F,,,,,Section-21,Section-32,Section-34,Section-4,Section-26,Section-24
,323,F,,,,,Section-18,Section-32,Section-28,Section-27,Section-9,Section-24
,324,M,,,,,Section-30,Section-7,Section-27,Section-19,Section-21,Section-29
,325,M,,,,,Section-22,Section-4,Section-2,Section-23,Section-26,Section-14
,326,M,,,,,Section-30,Section-22,Section-35,Section-5,Section-9,Section-28
,327,M,,,,,Section-32,Section-2,Section-35,Section-25,Section-33,Section-21
,328,M,,,,,Section-31,Section-33,Section-11,Section-21,Section-20,Section-24
,329,F,,,,,Section-28,Section-14,Section-13,Section-29,Section-25,Section-15
,330,M,,,,,Section-22,Section-30,Section-1,Section-11,Section-33,Section-20
,331,M,,,,,Section-33,Section-18,Section-31,Section-30,Section-1,Section-23
,332,M,,,,,Section-28,Section-3,Section-29,Section-11,Section-27,Section-30
,333,F,,,,,Section-6,Section-18,Section-25,Section-31,Section-11,Section-27
,334,F,,,,,Section-19,Section-21,Section-15,Section-4,Section-30,Section-5
,335,F,,,,,Section-17,Section-15,Section-24,Section-31,Section-12,Section-27
,336,F,,,,,Section-5,Section-4,Section-14,Section-25,Section-7,Section-28
,337,M,,,,,Section-32,Section-26,Section-23,Section-20,Section-22,Section-35
,338,F,,,,,Section-29,Section-31,Section-25,Section-14,Section-13,Section-2
,339,M,,,,,Section-32,Section-5,Section-30,Section-34,Section-7,Section-6
,340,F,,,,,Section-4,Section-33,Section-23,Section-26,Section-15,Section-34
,341,F,,,,,Section-10,Section-31,Section-28,Section-7,Section-11,Section-14
,342,F,,,,,Section-4,Section-32,Section-35,Section-28,Section-6,Section-7
,343,M,,,,,Section-8,Section-9,Section-10,Section-2,Section-4,Section-26
,344,F,Y,,,,Section-16,Section-7,Section-29,Section-20,Section-8,Section-9
,345,F,,,,,Section-15,Section-9,Section-3,Section-30,Section-19,Section-25
,346,F,,,,,Section-7,Section-11,Section-30,Section-6,Section-21,Section-3
