Placement,ID,Gender,Athlete,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,27,M,,Section-1,Section-7,Section-17,Section-11,Section-9,Section-22
,28,M,,Section-5,Section-15,Section-16,Section-7,Section-24,Section-9
,29,F,,Section-22,Section-1,Section-16,Section-27,Section-13,Section-29
,30,F,,Section-8,Section-2,Section-14,Section-16,Section-5,Section-4
,31,F,,Section-9,Section-7,Section-6,Section-27,Section-30,Section-19
,32,F,,Section-22,Section-23,Section-4,Section-10,Section-2,Section-30
,33,F,,Section-26,Section-21,Section-1,Section-14,Section-16,Section-17
,34,M,,Section-9,Section-20,Section-19,Section-23,Section-14,Section-11
,35,M,,Section-26,Section-2,Section-17,Section-22,Section-21,Section-29
,36,F,,Section-20,Section-18,Section-3,Section-13,Section-15,Section-21
,37,F,,Section-5,Section-8,Section-4,Section-22,Section-10,Section-6
,38,F,,Section-12,Section-14,Section-5,Section-19,Section-28,Section-1
,39,M,,Section-3,Section-4,Section-27,Section-10,Section-6,Section-16
,40,F,,Section-18,Section-25,Section-10,Section-13,Section-14,Section-29
,41,F,,Section-10,Section-12,Section-7,Section-18,Section-6,Section-4
,42,F,,Section-13,Section-25,Section-1,Section-4,Section-23,Section-30
,43,F,,Section-7,Section-23,Section-15,Section-17,Section-5,Section-22
,44,F,,Section-29,Section-27,Section-14,Section-20,Section-13,Section-11
,45,M,,Section-20,Section-27,Section-3,Section-15,Section-4,Section-8
,46,F,,Section-3,Section-8,Section-27,Section-7,Section-6,Section-23
,47,M,,Section-2,Section-5,Section-29,Section-13,Section-17,Section-11
,48,M,,Section-2,Section-12,Section-18,Section-15,Section-16,Section-28
,49,M,,Section-26,Section-4,Section-15,Section-7,Section-25,Section-28
,50,M,,Section-27,Section-15,Section-19,Section-16,Section-25,Section-20
,51,F,,Section-3,Section-1,Section-30,Section-5,Section-9,Section-11
,52,M,,Section-23,Section-21,Section-6,Section-28,Section-25,Section-9
,53,F,,Section-4,Section-2,Section-1,Section-6,Section-19,Section-8
,54,F,,Section-6,Section-14,Section-30,Section-22,Section-3,Section-20
,55,M,,Section-24,Section-6,Section-8,Section-18,Section-25,Section-13
,56,M,,Section-14,Section-24,Section-13,Section-10,Section-20,Section-15
,57,F,,Section-18,Section-14,Section-13,Section-11,Section-25,Section-6
,58,F,,Section-4,Section-20,Section-26,Section-11,Section-6,Section-27
,59,F,,Section-11,Section-2,Section-1,Section-19,Section-27,Section-24
,60,F,,Section-13,Section-18,Section-2,Section-6,Section-25,Section-7
,61,F,,Section-8,Section-5,Section-26,Section-2,Section-29,Section-27
,62,M,,Section-18,Section-3,Section-5,Section-22,Section-1,Section-17
,63,M,,Section-2,Section-22,Section-30,Section-24,Section-26,Section-4
,64,F,,Section-19,Section-28,Section-2,Section-26,Section-11,Section-29
,65,F,,Section-14,Section-8,Section-22,Section-28,Section-26,Section-11
,66,F,,Section-4,Section-27,Section-16,Section-15,Section-3,Section-1
,67,F,,Section-13,Section-11,Section-22,Section-27,Section-28,Section-8
,68,M,,Section-8,Section-2,Section-14,Section-7,Section-9,Section-5
,69,M,,Section-10,Section-6,Section-9,Section-14,Section-13,Section-5
,70,F,,Section-13,Section-30,Section-20,Section-26,Section-2,Section-25
,71,F,,Section-1,Section-5,Section-15,Section-18,Section-19,Section-27
,72,M,,Section-2,Section-6,Section-15,Section-10,Section-16,Section-14
,73,F,,Section-27,Section-7,Section-20,Section-26,Section-4,Section-30
,74,M,,Section-19,Section-22,Section-16,Section-9,Section-4,Section-12
,75,M,,Section-1,Section-30,Section-7,Section-21,Section-2,Section-8
,76,M,,Section-13,Section-10,Section-4,Section-29,Section-16,Section-24
,77,M,,Section-28,Section-12,Section-18,Section-30,Section-16,Section-29
,78,M,,Section-24,Section-3,Section-5,Section-8,Section-19,Section-27
,79,M,,Section-18,Section-6,Section-15,Section-28,Section-5,Section-2
,80,M,,Section-2,Section-5,Section-23,Section-29,Section-7,Section-11
,81,F,,Section-8,Section-30,Section-4,Section-5,Section-10,Section-12
,82,F,,Section-15,Section-1,Section-2,Section-19,Section-9,Section-30
,83,F,,Section-6,Section-24,Section-15,Section-9,Section-27,Section-13
,84,M,,Section-23,Section-22,Section-15,Section-24,Section-19,Section-25
,85,M,,Section-24,Section-12,Section-30,Section-5,Section-27,Section-8
,86,M,,Section-14,Section-25,Section-15,Section-23,Section-12,Section-28
,87,F,,Section-14,Section-28,Section-22,Section-6,Section-18,Section-30
,88,M,,Section-25,Section-9,Section-29,Section-7,Section-27,Section-14
,89,M,,Section-22,Section-1,Section-9,Section-14,Section-28,Section-3
,90,F,,Section-28,Section-6,Section-16,Section-17,Section-18,Section-13
,91,M,,Section-22,Section-8,Section-2,Section-19,Section-28,Section-5
,92,F,,Section-21,Section-18,Section-12,Section-7,Section-26,Section-29
,93,M,,Section-7,Section-13,Section-22,Section-4,Section-30,Section-1
,94,F,,Section-4,Section-7,Section-10,Section-5,Section-21,Section-24
,95,F,,Section-6,Section-22,Section-16,Section-7,Section-24,Section-18
,96,F,,Section-9,Section-13,Section-10,Section-20,Section-25,Section-29
,97,F,,Section-9,Section-17,Section-22,Section-12,Section-23,Section-30
,98,F,,Section-10,Section-30,Section-11,Section-4,Section-3,Section-28
,99,M,,Section-4,Section-29,Section-24,Section-25,Section-27,Section-17
,100,F,,Section-23,Section-29,Section-7,Section-5,Section-30,Section-17
,101,M,,Section-10,Section-18,Section-6,Section-28,Section-23,Section-15
,102,F,,Section-13,Section-21,Section-18,Section-25,Section-29,Section-28
,103,M,,Section-23,Section-21,Section-26,Section-4,Section-29,Section-8
,104,M,,Section-29,Section-3,Section-17,Section-28,Section-19,Section-2
,105,M,,Section-23,Section-3,Section-8,Section-9,Section-17,Section-14
,106,F,,Section-4,Section-23,Section-10,Section-5,Section-25,Section-1
,107,F,,Section-30,Section-26,Section-17,Section-7,Section-2,Section-12
,108,F,,Section-3,Section-16,Section-6,Section-14,Section-1,Section-26
,109,F,,Section-3,Section-23,Section-1,Section-6,Section-29,Section-17
,110,M,,Section-29,Section-9,Section-24,Section-14,Section-8,Section-2
,111,F,,Section-10,Section-22,Section-18,Section-26,Section-21,Section-24
,112,F,,Section-9,Section-26,Section-7,Section-28,Section-17,Section-2
,113,F,,Section-27,Section-22,Section-6,Section-21,Section-3,Section-13
,114,F,,Section-10,Section-8,Section-28,Section-20,Section-27,Section-23
,115,F,,Section-16,Section-24,Section-8,Section-1,Section-13,Section-9
,116,F,,Section-18,Section-11,Section-16,Section-22,Section-3,Section-13
,117,F,,Section-11,Section-10,Section-12,Section-8,Section-3,Section-28
,118,F,,Section-17,Section-5,Section-29,Section-18,Section-24,Section-26
,119,M,,Section-22,Section-20,Section-5,Section-21,Section-28,Section-6
,120,F,,Section-2,Section-14,Section-5,Section-23,Section-16,Section-21
,121,F,,Section-20,Section-6,Section-2,Section-17,Section-14,Section-3
,122,F,,Section-8,Section-18,Section-29,Section-13,Section-24,Section-19
,123,M,,Section-10,Section-22,Section-13,Section-3,Section-9,Section-15
,124,F,,Section-5,Section-24,Section-14,Section-21,Section-19,Section-27
,125,F,,Section-5,Section-1,Section-2,Section-9,Section-23,Section-14
,126,M,,Section-5,Section-2,Section-26,Section-18,Section-28,Section-29
,127,M,,Section-1,Section-22,Section-27,Section-21,Section-23,Section-14
,128,F,,Section-1,Section-7,Section-2,Section-6,Section-19,Section-23
,129,M,,Section-21,Section-7,Section-20,Section-23,Section-2,Section-1
,130,F,,Section-22,Section-4,Section-11,Section-25,Section-24,Section-3
,131,M,,Section-21,Section-15,Section-20,Section-2,Section-18,Section-8
,132,F,,Section-5,Section-12,Section-28,Section-21,Section-7,Section-14
,133,F,,Section-25,Section-8,Section-14,Section-10,Section-11,Section-30
,134,F,,Section-4,Section-26,Section-9,Section-1,Section-21,Section-6
,135,F,,Section-30,Section-29,Section-28,Section-15,Section-24,Section-18
,136,M,,Section-26,Section-20,Section-15,Section-6,Section-12,Section-9
,137,M,,Section-7,Section-13,Section-19,Section-27,Section-30,Section-11
,138,M,,Section-4,Section-30,Section-15,Section-9,Section-12,Section-8
,139,M,,Section-24,Section-7,Section-12,Section-19,Section-25,Section-9
,140,F,,Section-13,Section-11,Section-12,Section-30,Section-15,Section-17
,141,M,,Section-13,Section-27,Section-1,Section-6,Section-23,Section-17
,142,F,,Section-17,Section-16,Section-25,Section-15,Section-4,Section-1
,143,F,,Section-18,Section-13,Section-20,Section-26,Section-11,Section-30
,144,M,,Section-30,Section-4,Section-2,Section-15,Section-22,Section-6
,145,F,,Section-16,Section-30,Section-9,Section-12,Section-14,Section-26
,146,F,,Section-23,Section-17,Section-1,Section-7,Section-29,Section-20
,147,F,,Section-10,Section-12,Section-24,Section-25,Section-30,Section-8
,148,M,,Section-25,Section-13,Section-16,Section-14,Section-23,Section-29
,149,M,,Section-30,Section-17,Section-9,Section-4,Section-11,Section-15
,150,M,,Section-20,Section-6,Section-4,Section-9,Section-29,Section-15
,151,F,,Section-19,Section-14,Section-29,Section-24,Section-11,Section-7
,152,M,,Section-5,Section-19,Section-27,Section-17,Section-13,Section-29
,153,F,,Section-11,Section-23,Section-15,Section-29,Section-3,Section-27
,154,F,,Section-28,Section-6,Section-4,Section-19,Section-29,Section-30
,155,M,,Section-25,Section-4,Section-11,Section-17,Section-9,Section-15
,156,M,,Section-28,Section-22,Section-18,Section-16,Section-29,Section-21
,157,M,,Section-15,Section-22,Section-13,Section-27,Section-1,Section-30
,158,F,,Section-7,Section-26,Section-1,Section-16,Section-28,Section-18
,159,F,,Section-5,Section-1,Section-22,Section-24,Section-11,Section-27
,160,M,,Section-7,Section-30,Section-22,Section-11,Section-9,Section-13
,161,M,,Section-29,Section-12,Section-27,Section-14,Section-20,Section-15
,162,F,,Section-22,Section-12,Section-23,Section-5,Section-20,Section-17
,163,F,,Section-26,Section-11,Section-20,Section-24,Section-17,Section-9
,164,M,,Section-7,Section-20,Section-4,Section-28,Section-26,Section-6
,165,M,,Section-7,Section-10,Section-6,Section-22,Section-17,Section-28
,166,F,,Section-1,Section-27,Section-30,Section-14,Section-12,Section-28
,167,M,,Section-13,Section-11,Section-3,Section-22,Section-24,Section-6
,168,F,,Section-17,Section-19,Section-11,Section-8,Section-9,Section-1
,169,F,,Section-20,Section-8,Section-30,Section-24,Section-19,Section-16
,170,M,,Section-11,Section-15,Section-29,Section-14,Section-1,Section-3
,171,F,,Section-15,Section-28,Section-9,Section-8,Section-5,Section-27
,172,M,,Section-30,Section-24,Section-28,Section-2,Section-18,Section-10
,173,F,,Section-14,Section-11,Section-24,Section-9,Section-6,Section-1
,174,M,,Section-14,Section-19,Section-9,Section-25,Section-26,Section-23
,175,F,,Section-27,Section-20,Section-14,Section-1,Section-26,Section-10
,176,M,,Section-18,Section-16,Section-29,Section-17,Section-30,Section-21
,177,F,,Section-6,Section-10,Section-25,Section-21,Section-11,Section-7
,178,M,,Section-6,Section-23,Section-17,Section-9,Section-22,Section-4
,179,M,,Section-13,Section-11,Section-23,Section-10,Section-6,Section-25
,180,M,,Section-3,Section-11,Section-28,Section-26,Section-12,Section-8
,181,F,,Section-2,Section-3,Section-27,Section-24,Section-11,Section-12
,182,F,,Section-12,Section-1,Section-11,Section-19,Section-6,Section-24
,183,M,,Section-5,Section-26,Section-20,Section-9,Section-30,Section-16
,184,F,,Section-15,Section-13,Section-10,Section-2,Section-24,Section-12
,185,M,,Section-22,Section-27,Section-4,Section-1,Section-29,Section-9
,186,F,,Section-18,Section-4,Section-3,Section-19,Section-21,Section-1
,187,M,,Section-26,Section-21,Section-20,Section-8,Section-3,Section-23
,188,M,,Section-4,Section-14,Section-28,Section-8,Section-20,Section-9
,189,F,,Section-18,Section-14,Section-30,Section-19,Section-22,Section-6
,190,F,,Section-28,Section-18,Section-4,Section-1,Section-19,Section-27
,191,F,,Section-12,Section-23,Section-26,Section-6,Section-29,Section-14
,192,F,,Section-3,Section-26,Section-2,Section-20,Section-22,Section-28
,193,F,,Section-21,Section-30,Section-7,Section-4,Section-8,Section-20
,194,M,,Section-30,Section-1,Section-20,Section-21,Section-19,Section-11
,195,F,,Section-23,Section-26,Section-15,Section-22,Section-27,Section-1
,196,F,,Section-1,Section-3,Section-30,Section-10,Section-9,Section-6
,197,F,,Section-2,Section-21,Section-24,Section-15,Section-7,Section-4
,198,M,,Section-14,Section-29,Section-22,Section-23,Section-25,Section-8
,199,M,,Section-18,Section-24,Section-20,Section-10,Section-4,Section-11
,200,F,,Section-9,Section-26,Section-2,Section-12,Section-27,Section-6
,201,M,,Section-28,Section-8,Section-27,Section-19,Section-1,Section-24
,202,M,,Section-22,Section-30,Section-21,Section-8,Section-26,Section-9
,203,F,,Section-26,Section-23,Section-6,Section-20,Section-15,Section-25
,204,F,,Section-10,Section-27,Section-22,Section-6,Section-8,Section-17
,205,M,,Section-1,Section-24,Section-6,Section-2,Section-20,Section-10
,206,M,,Section-6,Section-13,Section-2,Section-30,Section-25,Section-28
,207,F,,Section-2,Section-10,Section-6,Section-13,Section-23,Section-21
,208,M,,Section-23,Section-7,Section-20,Section-14,Section-28,Section-4
,209,M,,Section-18,Section-2,Section-3,Section-17,Section-19,Section-25
,210,F,,Section-8,Section-9,Section-22,Section-12,Section-24,Section-15
,211,M,,Section-3,Section-23,Section-5,Section-6,Section-19,Section-26
,212,F,,Section-8,Section-26,Section-22,Section-29,Section-11,Section-15
,213,M,,Section-4,Section-27,Section-20,Section-24,Section-2,Section-18
,214,F,,Section-4,Section-10,Section-18,Section-24,Section-28,Section-13
,215,M,,Section-4,Section-2,Section-9,Section-14,Section-3,Section-28
,216,M,,Section-22,Section-3,Section-11,Section-1,Section-17,Section-5
,217,F,,Section-24,Section-5,Section-20,Section-6,Section-30,Section-13
,218,F,,Section-16,Section-28,Section-18,Section-12,Section-1,Section-24
,219,F,,Section-14,Section-23,Section-10,Section-5,Section-4,Section-21
,220,M,,Section-19,Section-7,Section-24,Section-4,Section-17,Section-27
,221,F,,Section-5,Section-16,Section-22,Section-19,Section-17,Section-10
,222,M,,Section-25,Section-1,Section-4,Section-12,Section-30,Section-6
,223,F,,Section-15,Section-8,Section-6,Section-25,Section-26,Section-13
,224,F,,Section-29,Section-30,Section-26,Section-18,Section-24,Section-2
,225,F,,Section-24,Section-27,Section-11,Section-3,Section-5,Section-12
,226,F,,Section-23,Section-29,Section-21,Section-9,Section-24,Section-18
,227,M,,Section-2,Section-5,Section-18,Section-10,Section-27,Section-26
,228,M,,Section-30,Section-4,Section-22,Section-8,Section-19,Section-27
,229,F,,Section-29,Section-7,Section-17,Section-1,Section-13,Section-25
,230,M,,Section-21,Section-20,Section-14,Section-1,Section-3,Section-19
,231,F,,Section-28,Section-7,Section-4,Section-14,Section-5,Section-10
,232,M,,Section-27,Section-14,Section-22,Section-5,Section-24,Section-29
,233,M,,Section-19,Section-20,Section-17,Section-6,Section-13,Section-18
,234,M,,Section-20,Section-28,Section-18,Section-27,Section-2,Section-19
,235,M,,Section-21,Section-5,Section-23,Section-11,Section-13,Section-28
,236,M,,Section-18,Section-12,Section-21,Section-16,Section-2,Section-10
,237,F,,Section-30,Section-5,Section-20,Section-18,Section-22,Section-15
,238,M,,Section-1,Section-5,Section-6,Section-12,Section-16,Section-13
,239,F,,Section-7,Section-20,Section-6,Section-8,Section-28,Section-15
,240,M,,Section-12,Section-6,Section-1,Section-4,Section-23,Section-19
,241,M,,Section-19,Section-24,Section-13,Section-16,Section-15,Section-12
,242,F,,Section-13,Section-4,Section-20,Section-12,Section-11,Section-6
,243,M,,Section-24,Section-26,Section-28,Section-27,Section-14,Section-19
,244,F,,Section-18,Section-12,Section-13,Section-1,Section-3,Section-27
,245,F,,Section-24,Section-5,Section-7,Section-6,Section-2,Section-21
,246,F,,Section-1,Section-30,Section-2,Section-18,Section-5,Section-13
,247,M,,Section-17,Section-23,Section-16,Section-2,Section-9,Section-25
,248,M,,Section-23,Section-17,Section-24,Section-14,Section-26,Section-5
,249,F,,Section-18,Section-11,Section-25,Section-13,Section-16,Section-24
,250,M,,Section-5,Section-17,Section-4,Section-29,Section-16,Section-23
,251,M,,Section-2,Section-20,Section-8,Section-12,Section-1,Section-27
,252,M,,Section-25,Section-7,Section-24,Section-30,Section-4,Section-22
,253,M,,Section-14,Section-9,Section-29,Section-28,Section-16,Section-2
,254,M,,Section-14,Section-12,Section-16,Section-10,Section-30,Section-9
,255,M,,Section-3,Section-22,Section-7,Section-4,Section-12,Section-21
,256,F,,Section-18,Section-7,Section-29,Section-15,Section-8,Section-23
,257,F,,Section-8,Section-7,Section-4,Section-6,Section-5,Section-1
,258,M,,Section-19,Section-10,Section-1,Section-25,Section-27,Section-12
,259,M,,Section-11,Section-8,Section-13,Section-9,Section-15,Section-17
,260,M,,Section-17,Section-23,Section-25,Section-20,Section-5,Section-19
,261,F,,Section-2,Section-6,Section-3,Section-9,Section-23,Section-27
,262,F,,Section-18,Section-4,Section-25,Section-9,Section-5,Section-12
,263,M,,Section-29,Section-15,Section-22,Section-18,Section-7,Section-21
,264,M,,Section-29,Section-28,Section-15,Section-17,Section-14,Section-13
,265,M,,Section-29,Section-18,Section-16,Section-27,Section-26,Section-8
,266,F,,Section-11,Section-25,Section-5,Section-17,Section-13,Section-29
,267,F,,Section-10,Section-20,Section-26,Section-1,Section-5,Section-17
,268,M,,Section-18,Section-23,Section-20,Section-24,Section-15,Section-4
,269,F,,Section-15,Section-1,Section-5,Section-4,Section-20,Section-29
,270,F,,Section-13,Section-4,Section-6,Section-19,Section-9,Section-20
,271,F,,Section-25,Section-13,Section-29,Section-1,Section-7,Section-23
,272,F,,Section-25,Section-28,Section-1,Section-7,Section-10,Section-21
,273,M,,Section-17,Section-3,Section-5,Section-10,Section-20,Section-27
,274,F,,Section-2,Section-11,Section-24,Section-10,Section-12,Section-27
,275,M,,Section-27,Section-21,Section-19,Section-24,Section-9,Section-6
,276,F,,Section-12,Section-7,Section-25,Section-26,Section-18,Section-8
,277,M,,Section-15,Section-28,Section-27,Section-29,Section-17,Section-12
,278,F,,Section-19,Section-8,Section-12,Section-10,Section-25,Section-5
,279,F,,Section-23,Section-9,Section-14,Section-18,Section-26,Section-6
,280,F,,Section-7,Section-8,Section-5,Section-28,Section-18,Section-3
,281,F,,Section-27,Section-2,Section-24,Section-29,Section-20,Section-22
,282,M,,Section-13,Section-14,Section-29,Section-17,Section-19,Section-26
,283,F,,Section-29,Section-30,Section-22,Section-21,Section-14,Section-26
,284,M,,Section-27,Section-29,Section-17,Section-9,Section-4,Section-21
,285,F,,Section-12,Section-23,Section-3,Section-22,Section-16,Section-5
,286,F,,Section-2,Section-18,Section-21,Section-17,Section-26,Section-7
,287,M,,Section-25,Section-14,Section-24,Section-8,Section-4,Section-13
,288,F,,Section-21,Section-22,Section-15,Section-1,Section-9,Section-25
,289,F,,Section-28,Section-7,Section-3,Section-21,Section-30,Section-12
,290,F,,Section-20,Section-10,Section-29,Section-13,Section-5,Section-23
,291,F,,Section-12,Section-21,Section-23,Section-17,Section-26,Section-14
,292,F,,Section-4,Section-1,Section-8,Section-21,Section-11,Section-27
,293,M,,Section-17,Section-14,Section-7,Section-16,Section-13,Section-4
,294,F,,Section-19,Section-7,Section-30,Section-1,Section-6,Section-5
,295,M,,Section-16,Section-28,Section-23,Section-9,Section-12,Section-5
,296,F,,Section-25,Section-15,Section-30,Section-11,Section-13,Section-1
,297,M,,Section-2,Section-5,Section-25,Section-4,Section-3,Section-28
,298,F,,Section-9,Section-29,Section-12,Section-2,Section-24,Section-14
,299,M,,Section-4,Section-19,Section-5,Section-28,Section-13,Section-3
,300,M,,Section-10,Section-7,Section-11,Section-1,Section-13,Section-14
,301,F,,Section-5,Section-14,Section-24,Section-8,Section-10,Section-11
,302,M,,Section-24,Section-22,Section-29,Section-27,Section-7,Section-1
,303,F,,Section-7,Section-8,Section-3,Section-16,Section-29,Section-11
,304,M,,Section-7,Section-21,Section-29,Section-27,Section-17,Section-6
,305,M,,Section-24,Section-14,Section-22,Section-30,Section-18,Section-23
,306,F,,Section-6,Section-16,Section-18,Section-10,Section-5,Section-8
,307,F,,Section-4,Section-7,Section-15,Section-17,Section-18,Section-22
,308,F,,Section-13,Section-22,Section-26,Section-27,Section-25,Section-17
,309,F,,Section-10,Section-8,Section-7,Section-16,Section-2,Section-28
,310,M,,Section-14,Section-18,Section-24,Section-13,Section-8,Section-21
,311,M,,Section-22,Section-19,Section-7,Section-30,Section-24,Section-18
,312,M,,Section-19,Section-10,Section-25,Section-29,Section-1,Section-18
,313,M,,Section-19,Section-21,Section-4,Section-24,Section-25,Section-28
,314,M,,Section-8,Section-28,Section-4,Section-16,Section-2,Section-23
,315,F,,Section-13,Section-22,Section-5,Section-3,Section-28,Section-30
,316,F,,Section-25,Section-30,Section-16,Section-9,Section-22,Section-26
,317,F,,Section-29,Section-6,Section-30,Section-27,Section-23,Section-1
,318,M,,Section-4,Section-24,Section-6,Section-7,Section-22,Section-26
,319,M,,Section-20,Section-3,Section-19,Section-25,Section-22,Section-6
,320,M,,Section-30,Section-27,Section-10,Section-7,Section-24,Section-8
,321,F,,Section-17,Section-3,Section-29,Section-20,Section-16,Section-25
,322,F,,Section-28,Section-14,Section-7,Section-16,Section-9,Section-18
,323,M,,Section-15,Section-21,Section-19,Section-27,Section-14,Section-22
,324,M,,Section-6,Section-28,Section-19,Section-11,Section-25,Section-7
,325,F,,Section-14,Section-12,Section-5,Section-10,Section-24,Section-13
,326,M,,Section-15,Section-12,Section-9,Section-5,Section-23,Section-10
,327,M,,Section-21,Section-24,Section-25,Section-29,Section-9,Section-15
,328,F,,Section-11,Section-3,Section-10,Section-18,Section-24,Section-21
,329,M,,Section-12,Section-11,Section-16,Section-7,Section-23,Section-9
,330,F,,Section-28,Section-6,Section-24,Section-1,Section-8,Section-30
,331,M,,Section-20,Section-29,Section-24,Section-21,Section-3,Section-4
,332,M,,Section-9,Section-1,Section-15,Section-8,Section-25,Section-19
,333,M,,Section-22,Section-13,Section-21,Section-1,Section-29,Section-23
,334,M,,Section-11,Section-20,Section-24,Section-26,Section-13,Section-15
,335,F,,Section-3,Section-27,Section-19,Section-29,Section-20,Section-18
,336,F,,Section-13,Section-3,Section-24,Section-25,Section-8,Section-16
,337,F,,Section-12,Section-6,Section-29,Section-21,Section-13,Section-8
,338,M,,Section-26,Section-28,Section-10,Section-17,Section-12,Section-15
,339,F,,Section-8,Section-20,Section-7,Section-24,Section-17,Section-14
,340,M,,Section-19,Section-9,Section-22,Section-4,Section-7,Section-26
,341,F,,Section-12,Section-24,Section-16,Section-21,Section-11,Section-15
,342,M,,Section-21,Section-22,Section-2,Section-7,Section-6,Section-24
,343,M,,Section-20,Section-9,Section-7,Section-29,Section-21,Section-28
,344,F,,Section-15,Section-1,Section-21,Section-17,Section-18,Section-11
,345,F,,Section-18,Section-8,Section-9,Section-13,Section-11,Section-10
,346,F,,Section-17,Section-1,Section-11,Section-29,Section-22,Section-3
,347,M,,Section-20,Section-21,Section-15,Section-17,Section-30,Section-4
,348,F,,Section-25,Section-26,Section-29,Section-7,Section-16,Section-21
,349,M,,Section-28,Section-18,Section-19,Section-30,Section-13,Section-20
,350,M,,Section-11,Section-28,Section-13,Section-6,Section-22,Section-1
,351,F,,Section-26,Section-19,Section-22,Section-3,Section-14,Section-6
,352,M,,Section-11,Section-28,Section-13,Section-23,Section-3,Section-22
,353,M,,Section-21,Section-20,Section-14,Section-15,Section-12,Section-24
,354,F,,Section-30,Section-11,Section-16,Section-28,Section-20,Section-22
,355,M,,Section-13,Section-10,Section-3,Section-18,Section-5,Section-26
,356,F,,Section-23,Section-11,Section-12,Section-30,Section-17,Section-10
,357,M,,Section-24,Section-2,Section-16,Section-7,Section-22,Section-23
,358,F,,Section-30,Section-18,Section-4,Section-23,Section-22,Section-6
,359,M,,Section-19,Section-1,Section-3,Section-18,Section-26,Section-14
,360,M,,Section-4,Section-9,Section-2,Section-8,Section-23,Section-21
,361,F,,Section-8,Section-25,Section-27,Section-11,Section-9,Section-21
,362,F,,Section-10,Section-3,Section-11,Section-23,Section-20,Section-28
,363,M,,Section-12,Section-24,Section-9,Section-13,Section-16,Section-11
,364,F,,Section-4,Section-18,Section-27,Section-14,Section-23,Section-13
,365,M,,Section-30,Section-18,Section-2,Section-27,Section-4,Section-9
,366,M,,Section-14,Section-6,Section-24,Section-21,Section-18,Section-19
,367,M,,Section-2,Section-8,Section-28,Section-20,Section-24,Section-30
,368,M,,Section-25,Section-24,Section-29,Section-18,Section-27,Section-7
,369,M,,Section-11,Section-26,Section-14,Section-18,Section-30,Section-16
,370,M,,Section-9,Section-24,Section-7,Section-2,Section-25,Section-10
,371,F,,Section-5,Section-18,Section-10,Section-30,Section-28,Section-8
,372,M,,Section-21,Section-22,Section-24,Section-4,Section-2,Section-25
,373,F,,Section-28,Section-17,Section-24,Section-8,Section-18,Section-26
,374,F,,Section-14,Section-21,Section-12,Section-2,Section-15,Section-5
,375,M,,Section-18,Section-1,Section-17,Section-21,Section-12,Section-16
,376,F,,Section-16,Section-4,Section-26,Section-7,Section-18,Section-1
,377,F,,Section-15,Section-16,Section-3,Section-25,Section-18,Section-4
,378,M,,Section-2,Section-28,Section-11,Section-8,Section-5,Section-15
,379,F,,Section-16,Section-24,Section-20,Section-10,Section-3,Section-22
,380,F,,Section-27,Section-29,Section-18,Section-4,Section-22,Section-15
,381,M,,Section-3,Section-18,Section-16,Section-27,Section-2,Section-25
,382,F,,Section-15,Section-16,Section-3,Section-13,Section-30,Section-7
,383,M,,Section-26,Section-29,Section-15,Section-18,Section-9,Section-12
,384,F,,Section-26,Section-4,Section-3,Section-2,Section-27,Section-15
,385,F,,Section-14,Section-16,Section-23,Section-9,Section-20,Section-25
