Placement,ID,Gender,Athlete,Sport,Previous Instructor,Illegal Sections,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,45,F,,,,,Section-32,Section-18,Section-35,Section-7,Section-13,Section-12
,46,F,,,,,Section-13,Section-21,Section-32,Section-11,Section-3,Section-24
,47,M,Y,,,,Section-12,Section-16,Section-35,Section-3,Section-6,Section-27
,48,F,,,,,Section-35,Section-34,Section-26,Section-16,Section-7,Section-8
,49,F,Y,,,,Section-7,Section-32,Section-23,Section-33,Section-9,Section-24
,50,F,,,,,Section-25,Section-7,Section-8,Section-14,Section-17,Section-5
Section-16,51,M,Y,,,,Section-25,Section-12,Section-27,Section-33,Section-28,Section-35
,52,F,,,,,Section-3,Section-31,Section-18,Section-5,Section-19,Section-35
,53,M,Y,,,,Section-24,Section-28,Section-21,Section-9,Section-26,Section-11
,54,M,,,,,Section-27,Section-30,Section-10,Section-25,Section-34,Section-22
,55,M,Y,,,,Section-23,Section-17,Section-11,Section-29,Section-24,Section-27
,56,F,,,,,Section-12,Section-2,Section-29,Section-10,Section-25,Section-4
,57,M,,,,,Section-10,Section-28,Section-2,Section-18,Section-32,Section-7
,58,F,,,,,Section-4,Section-5,Section-10,Section-31,Section-12,Section-15
Section-21,59,M,,,,,Section-35,Section-10,Section-4,Section-28,Section-12,Section-11
,60,M,,,,,Section-30,Section-9,Section-10,Section-5,Section-15,Section-17
Section-16,61,F,,,,,Section-13,Section-30,Section-16,Section-27,Section-8,Section-23
,62,F,,,,,Section-9,Section-28,Section-4,Section-7,Section-8,Section-32
,63,F,Y,,,,Section-27,Section-7,Section-19,Section-18,Section-9,Section-34
Section-25,64,M,,,,,Section-2,Section-32,Section-16,Section-21,Section-34,Section-3
,65,M,Y,,,,Section-9,Section-2,Section-31,Section-20,Section-23,Section-26
,66,F,,,,,Section-15,Section-10,Section-14,Section-29,Section-22,Section-18
Section-7,67,F,,,,,Section-31,Section-25,Section-24,Section-6,Section-35,Section-18
,68,F,,,,,Section-26,Section-12,Section-7,Section-10,Section-20,Section-27
,69,F,,,,,Section-2,Section-4,Section-8,Section-29,Section-3,Section-23
,70,F,Y,,,,Section-5,Section-24,Section-18,Section-8,Section-3,Section-14
,71,M,Y,,,,Section-27,Section-4,Section-33,Section-31,Section-7,Section-3
,72,M,,,,,Section-14,Section-31,Section-17,Section-33,Section-7,Section-4
Section-33,73,M,,,,,Section-32,Section-35,Section-8,Section-28,Section-4,Section-15
,74,M,,,,,Section-9,Section-5,Section-12,Section-14,Section-33,Section-30
,75,F,,,,,Section-27,Section-22,Section-26,Section-16,Section-34,Section-35
,76,M,,,,,Section-23,Section-14,Section-29,Section-22,Section-10,Section-4
,77,F,Y,,,,Section-5,Section-3,Section-32,Section-26,Section-13,Section-23
,78,M,,,,,Section-15,Section-31,Section-3,Section-11,Section-17,Section-25
,79,F,,,,,Section-4,Section-34,Section-13,Section-10,Section-6,Section-21
Section-19,80,F,,,,,Section-27,Section-19,Section-6,Section-8,Section-35,Section-25
,81,F,,,,,Section-29,Section-28,Section-17,Section-22,Section-6,Section-35
,82,F,,,,,Section-8,Section-12,Section-5,Section-26,Section-4,Section-17
Section-29,83,M,Y,,,,Section-5,Section-24,Section-28,Section-4,Section-1,Section-34
,84,M,Y,,,,Section-22,Section-7,Section-2,Section-20,Section-10,Section-23
,85,F,Y,,,,Section-13,Section-35,Section-1,Section-5,Section-14,Section-24
,86,M,,,,,Section-31,Section-35,Section-25,Section-10,Section-21,Section-8
,87,F,Y,,,,Section-21,Section-24,Section-22,Section-23,Section-4,Section-12
,88,M,,,,,Section-25,Section-1,Section-13,Section-22,Section-32,Section-17
,89,F,,,,,Section-19,Section-7,Section-10,Section-18,Section-28,Section-8
,90,M,,,,,Section-28,Section-2,Section-5,Section-1,Section-9,Section-34
,91,F,,,,,Section-16,Section-12,Section-20,Section-10,Section-9,Section-2
Section-23,92,M,Y,,,,Section-18,Section-3,Section-5,Section-9,Section-30,Section-13
Section-29,93,F,,,,,Section-8,Section-16,Section-21,Section-1,Section-30,Section-3
,94,M,,,,,Section-32,Section-28,Section-6,Section-21,Section-15,Section-30
,95,F,,,,,Section-12,Section-18,Section-15,Section-8,Section-1,Section-13
,96,M,,,,,Section-24,Section-29,Section-33,Section-15,Section-4,Section-28
,97,F,,,,,Section-7,Section-33,Section-29,Section-6,Section-35,Section-31
,98,M,,,,,Section-20,Section-26,Section-33,Section-29,Section-4,Section-3
,99,M,,,,,Section-12,Section-16,Section-30,Section-33,Section-3,Section-1
,100,F,,,,,Section-27,Section-1,Section-19,Section-8,Section-28,Section-15
Section-33,101,F,Y,,,,Section-2,Section-19,Section-11,Section-16,Section-32,Section-25
,102,F,,,,,Section-11,Section-22,Section-31,Section-28,Section-9,Section-18
,103,F,,,,,Section-28,Section-5,Section-13,Section-18,Section-29,Section-6
,104,F,Y,,,,Section-23,Section-17,Section-16,Section-21,Section-22,Section-9
Section-22,105,M,,,,,Section-13,Section-12,Section-28,Section-5,Section-22,Section-14
,106,M,Y,,,,Section-26,Section-18,Section-8,Section-2,Section-14,Section-10
,107,M,,,,,Section-30,Section-33,Section-18,Section-11,Section-13,Section-7
Section-17,108,M,Y,,,,Section-34,Section-17,Section-23,Section-19,Section-26,Section-28
,109,M,,,,,Section-2,Section-9,Section-25,Section-24,Section-10,Section-32
,110,M,,,,,Section-31,Section-22,Section-15,Section-19,Section-32,Section-35
,111,M,Y,,,,Section-1,Section-19,Section-35,Section-8,Section-26,Section-13
,112,F,,,,,Section-5,Section-8,Section-11,Section-3,Section-9,Section-18
Section-24,113,F,Y,,,,Section-25,Section-1,Section-19,Section-26,Section-7,Section-35
,114,M,,,,,Section-29,Section-3,Section-26,Section-7,Section-2,Section-18
Section-11,115,M,,,,,Section-7,Section-31,Section-27,Section-34,Section-19,Section-22
,116,M,Y,,,,Section-4,Section-25,Section-20,Section-7,Section-19,Section-8
,117,M,,,,,Section-2,Section-16,Section-10,Section-17,Section-4,Section-8
,118,M,,,,,Section-4,Section-18,Section-21,Section-5,Section-17,Section-23
,119,F,,,,,Section-35,Section-22,Section-15,Section-7,Section-3,Section-9
,120,F,,,,,Section-1,Section-20,Section-23,Section-5,Section-11,Section-24
,121,M,,,,,Section-33,Section-32,Section-10,Section-17,Section-34,Section-4
,122,F,,,,,Section-8,Section-26,Section-28,Section-22,Section-6,Section-5
,123,F,Y,,,,Section-17,Section-23,Section-8,Section-35,Section-4,Section-26
,124,F,,,,,Section-10,Section-12,Section-24,Section-18,Section-14,Section-27
,125,M,,,,,Section-27,Section-21,Section-15,Section-9,Section-28,Section-25
,126,M,,,,,Section-35,Section-12,Section-34,Section-15,Section-24,Section-6
,127,M,,,,,Section-9,Section-19,Section-11,Section-4,Section-7,Section-5
,128,F,,,,,Section-31,Section-25,Section-16,Section-19,Section-18,Section-35
Section-12,129,F,,,,,Section-32,Section-7,Section-18,Section-35,Section-33,Section-22
,130,F,,,,,Section-2,Section-33,Section-23,Section-5,Section-26,Section-9
,131,M,,,,,Section-8,Section-16,Section-7,Section-13,Section-24,Section-32
Section-34,132,M,,,,,Section-16,Section-31,Section-4,Section-11,Section-6,Section-34
Section-30,133,F,Y,,,,Section-26,Section-25,Section-5,Section-20,Section-32,Section-30
,134,M,,,,,Section-34,Section-33,Section-12,Section-4,Section-35,Section-28
,135,F,,,,,Section-31,Section-7,Section-32,Section-20,Section-9,Section-29
,136,M,,,,,Section-22,Section-33,Section-21,Section-4,Section-28,Section-23
,137,M,,,,,Section-34,Section-1,Section-5,Section-17,Section-19,Section-9
,138,M,,,,,Section-17,Section-30,Section-15,Section-22,Section-35,Section-23
,139,M,,,,,Section-32,Section-15,Section-25,Section-9,Section-5,Section-12
,140,F,,,,,Section-21,Section-17,Section-31,Section-22,Section-29,Section-4
,141,M,Y,,,,Section-27,Section-26,Section-20,Section-6,Section-34,Section-21
,142,F,,,,,Section-1,Section-15,Section-24,Section-3,Section-13,Section-6
,143,F,,,,,Section-15,Section-24,Section-21,Section-29,Section-31,Section-3
,144,F,,,,,Section-18,Section-4,Section-17,Section-11,Section-35,Section-6
,145,F,Y,,,,Section-14,Section-23,Section-26,Section-17,Section-24,Section-31
,146,M,,,,,Section-10,Section-11,Section-8,Section-14,Section-30,Section-2
,147,M,,,,,Section-22,Section-5,Section-20,Section-14,Section-29,Section-7
,148,M,Y,,,,Section-3,Section-13,Section-30,Section-31,Section-28,Section-2
,149,F,,,,,Section-23,Section-26,Section-33,Section-10,Section-22,Section-34
,150,M,Y,,,,Section-33,Section-10,Section-2,Section-35,Section-18,Section-24
,151,M,,,,,Section-18,Section-30,Section-15,Section-14,Section-8,Section-26
,152,M,Y,,,,Section-20,Section-28,Section-13,Section-3,Section-18,Section-29
,153,M,,,,,Section-11,Section-33,Section-14,Section-13,Section-18,Section-25
,154,F,,,,,Section-33,Section-8,Section-13,Section-30,Section-10,Section-16
,155,F,,,,,Section-23,Section-15,Section-29,Section-16,Section-20,Section-24
Section-14,156,F,,,,,Section-27,Section-13,Section-15,Section-5,Section-31,Section-26
,157,F,,,,,Section-5,Section-17,Section-18,Section-9,Section-10,Section-20
,158,F,,,,,Section-19,Section-7,Section-35,Section-23,Section-2,Section-28
,159,F,,,,,Section-12,Section-33,Section-13,Section-9,Section-14,Section-23
,160,M,,,,,Section-19,Section-34,Section-24,Section-3,Section-11,Section-35
,161,F,,,,,Section-11,Section-23,Section-20,Section-2,Section-32,Section-8
,162,F,,,,,Section-5,Section-23,Section-15,Section-20,Section-34,Section-6
,163,M,Y,,,,Section-35,Section-24,Section-32,Section-34,Section-5,Section-1
Section-22,164,M,Y,,,,Section-25,Section-3,Section-11,Section-31,Section-6,Section-2
,165,F,,,,,Section-25,Section-26,Section-19,Section-10,Section-28,Section-4
,166,M,,,,,Section-24,Section-18,Section-33,Section-6,Section-11,Section-10
Section-5,167,F,Y,,,,Section-15,Section-13,Section-21,Section-8,Section-33,Section-16
,168,F,Y,,,,Section-1,Section-17,Section-21,Section-12,Section-26,Section-7
,169,F,,,,,Section-31,Section-4,Section-11,Section-30,Section-19,Section-27
,170,M,,,,,Section-4,Section-30,Section-15,Section-7,Section-24,Section-35
,171,F,,,,,Section-8,Section-17,Section-5,Section-32,Section-29,Section-13
,172,M,Y,,,,Section-30,Section-31,Section-15,Section-35,Section-22,Section-14
,173,F,,,,,Section-30,Section-28,Section-10,Section-7,Section-12,Section-27
,174,M,,,,,Section-31,Section-5,Section-13,Section-25,Section-27,Section-6
,175,M,,,,,Section-28,Section-20,Section-19,Section-18,Section-13,Section-8
,176,M,,,,,Section-27,Section-3,Section-13,Section-4,Section-29,Section-23
,177,M,Y,,,,Section-35,Section-6,Section-34,Section-2,Section-12,Section-27
,178,F,,,,,Section-12,Section-15,Section-27,Section-20,Section-1,Section-13
,179,F,Y,,,,Section-29,Section-28,Section-10,Section-34,Section-20,Section-1
,180,M,Y,,,,Section-18,Section-25,Section-23,Section-6,Section-1,Section-12
,181,M,Y,,,,Section-34,Section-33,Section-12,Section-13,Section-18,Section-29
,182,F,,,,,Section-3,Section-19,Section-13,Section-35,Section-22,Section-15
,183,F,,,,,Section-18,Section-22,Section-30,Section-7,Section-35,Section-16
,184,F,Y,,,,Section-26,Section-14,Section-28,Section-17,Section-6,Section-31
,185,F,Y,,,,Section-18,Section-22,Section-31,Section-8,Section-5,Section-16
,186,F,,,,,Section-1,Section-28,Section-5,Section-2,Section-33,Section-11
,187,F,,,,,Section-25,Section-13,Section-35,Section-31,Section-6,Section-24
Section-31,188,M,,,,,Section-1,Section-27,Section-20,Section-10,Section-22,Section-23
Section-10,189,F,,,,,Section-9,Section-15,Section-6,Section-11,Section-33,Section-19
,190,M,,,,,Section-20,Section-26,Section-5,Section-28,Section-25,Section-8
,191,F,,,,,Section-13,Section-17,Section-11,Section-22,Section-29,Section-23
,192,M,,,,,Section-29,Section-7,Section-30,Section-27,Section-16,Section-28
,193,M,Y,,,,Section-15,Section-17,Section-10,Section-25,Section-26,Section-3
,194,F,,,,,Section-27,Section-19,Section-8,Section-32,Section-3,Section-18
,195,M,,,,,Section-20,Section-12,Section-35,Section-32,Section-15,Section-27
,196,M,,,,,Section-23,Section-16,Section-19,Section-32,Section-11,Section-17
Section-1,197,M,,,,,Section-13,Section-4,Section-32,Section-30,Section-29,Section-27
,198,F,,,,,Section-4,Section-35,Section-31,Section-2,Section-34,Section-23
Section-21,199,F,Y,,,,Section-3,Section-20,Section-2,Section-32,Section-1,Section-14
,200,F,,,,,Section-18,Section-22,Section-25,Section-7,Section-11,Section-23
,201,M,,,,,Section-27,Section-31,Section-11,Section-33,Section-1,Section-6
,202,F,Y,,,,Section-5,Section-24,Section-15,Section-8,Section-19,Section-1
,203,M,,,,,Section-6,Section-14,Section-19,Section-22,Section-18,Section-16
,204,M,,,,,Section-28,Section-31,Section-10,Section-15,Section-11,Section-7
,205,F,,,,,Section-7,Section-11,Section-16,Section-18,Section-20,Section-15
,206,F,,,,,Section-25,Section-31,Section-1,Section-15,Section-2,Section-4
,207,F,Y,,,,Section-17,Section-11,Section-10,Section-32,Section-25,Section-2
,208,M,,,,,Section-8,Section-18,Section-20,Section-3,Section-21,Section-34
,209,F,,,,,Section-11,Section-13,Section-32,Section-27,Section-9,Section-26
,210,F,,,,,Section-32,Section-12,Section-16,Section-27,Section-10,Section-6
,211,M,Y,,,,Section-23,Section-15,Section-27,Section-31,Section-34,Section-29
,212,M,,,,,Section-3,Section-19,Section-32,Section-10,Section-22,Section-23
,213,M,,,,,Section-27,Section-16,Section-32,Section-35,Section-7,Section-8
,214,M,Y,,,,Section-21,Section-10,Section-15,Section-27,Section-4,Section-3
,215,F,Y,,,,Section-12,Section-8,Section-23,Section-18,Section-7,Section-10
,216,M,,,,,Section-30,Section-33,Section-14,Section-17,Section-15,Section-6
,217,M,,,,,Section-17,Section-25,Section-2,Section-1,Section-33,Section-19
,218,F,,,,,Section-3,Section-20,Section-7,Section-32,Section-21,Section-1
,219,F,,,,,Section-16,Section-14,Section-28,Section-9,Section-21,Section-11
,220,F,,,,,Section-28,Section-35,Section-15,Section-32,Section-30,Section-34
Section-9,221,F,Y,,,,Section-34,Section-9,Section-30,Section-20,Section-4,Section-32
,222,M,,,,,Section-24,Section-15,Section-30,Section-19,Section-8,Section-13
,223,F,,,,,Section-28,Section-12,Section-4,Section-17,Section-24,Section-26
,224,M,,,,,Section-19,Section-31,Section-2,Section-21,Section-18,Section-10
Section-32,225,F,Y,,,,Section-34,Section-1,Section-22,Section-10,Section-9,Section-19
,226,M,,,,,Section-23,Section-32,Section-21,Section-2,Section-18,Section-6
Section-9,227,F,,,,,Section-27,Section-34,Section-30,Section-9,Section-13,Section-14
,228,M,,,,,Section-21,Section-34,Section-11,Section-8,Section-12,Section-33
,229,F,,,,,Section-5,Section-3,Section-10,Section-29,Section-13,Section-35
,230,M,,,,,Section-5,Section-15,Section-11,Section-34,Section-1,Section-6
,231,M,Y,,,,Section-3,Section-9,Section-32,Section-29,Section-34,Section-26
,232,F,,,,,Section-29,Section-22,Section-26,Section-24,Section-19,Section-27
,233,F,,,,,Section-32,Section-22,Section-18,Section-20,Section-16,Section-21
,234,F,Y,,,,Section-21,Section-5,Section-4,Section-31,Section-8,Section-3
,235,M,,,,,Section-21,Section-5,Section-12,Section-15,Section-8,Section-4
,236,F,,,,,Section-14,Section-20,Section-15,Section-22,Section-8,Section-24
,237,F,,,,,Section-5,Section-1,Section-4,Section-9,Section-10,Section-15
,238,M,Y,,,,Section-3,Section-6,Section-35,Section-5,Section-34,Section-21
,239,F,,,,,Section-31,Section-2,Section-24,Section-17,Section-16,Section-25
,240,M,,,,,Section-4,Section-35,Section-9,Section-33,Section-16,Section-31
,241,M,,,,,Section-3,Section-8,Section-10,Section-13,Section-23,Section-26
,242,F,,,,,Section-2,Section-14,Section-29,Section-26,Section-22,Section-21
,243,F,Y,,,,Section-35,Section-17,Section-32,Section-18,Section-9,Section-29
,244,F,,,,,Section-4,Section-17,Section-22,Section-29,Section-27,Section-8
,245,M,Y,,,,Section-33,Section-31,Section-23,Section-35,Section-19,Section-9
,246,M,,,,,Section-22,Section-23,Section-17,Section-12,Section-10,Section-24
,247,F,Y,,,,Section-21,Section-4,Section-33,Section-9,Section-8,Section-19
,248,M,,,,,Section-25,Section-1,Section-27,Section-15,Section-14,Section-6
,249,M,,,,,Section-19,Section-11,Section-30,Section-10,Section-32,Section-26
,250,F,Y,,,,Section-9,Section-14,Section-16,Section-33,Section-20,Section-12
,251,M,,,,,Section-4,Section-23,Section-3,Section-19,Section-20,Section-1
,252,M,,,,,Section-30,Section-18,Section-21,Section-27,Section-26,Section-11
,253,F,Y,,,,Section-31,Section-19,Section-16,Section-34,Section-5,Section-4
,254,F,,,,,Section-31,Section-23,Section-15,Section-34,Section-16,Section-6
,255,M,,,,,Section-10,Section-28,Section-31,Section-4,Section-13,Section-29
,256,F,,,,,Section-6,Section-7,Section-17,Section-9,Section-14,Section-4
,257,M,,,,,Section-2,Section-21,Section-1,Section-10,Section-3,Section-8
Section-24,258,M,,,,,Section-16,Section-2,Section-12,Section-9,Section-11,Section-19
,259,M,Y,,,,Section-23,Section-2,Section-16,Section-3,Section-34,Section-26
,260,F,,,,,Section-15,Section-20,Section-12,Section-10,Section-11,Section-28
,261,M,Y,,,,Section-34,Section-11,Section-23,Section-27,Section-28,Section-17
,262,M,,,,,Section-5,Section-7,Section-31,Section-16,Section-3,Section-27
,263,F,,,,,Section-4,Section-7,Section-18,Section-27,Section-29,Section-3
,264,M,,,,,Section-23,Section-22,Section-15,Section-6,Section-16,Section-31
,265,M,Y,,,,Section-10,Section-31,Section-30,Section-17,Section-23,Section-21
,266,M,Y,,,,Section-32,Section-28,Section-9,Section-11,Section-26,Section-22
,267,M,Y,,,,Section-7,Section-32,Section-5,Section-33,Section-27,Section-34
,268,M,,,,,Section-20,Section-16,Section-3,Section-4,Section-7,Section-10
,269,F,,,,,Section-4,Section-25,Section-30,Section-20,Section-5,Section-33
,270,M,,,,,Section-20,Section-29,Section-22,Section-8,Section-1,Section-35
,271,M,,,,,Section-27,Section-28,Section-25,Section-26,Section-14,Section-4
,272,F,,,,,Section-10,Section-11,Section-34,Section-5,Section-4,Section-18
,273,F,,,,,Section-7,Section-29,Section-8,Section-33,Section-15,Section-19
Section-19,274,M,,,,,Section-22,Section-34,Section-14,Section-12,Section-1,Section-9
Section-2,275,F,,,,,Section-23,Section-3,Section-7,Section-4,Section-33,Section-18
,276,F,,,,,Section-23,Section-12,Section-19,Section-6,Section-22,Section-29
,277,F,,,,,Section-24,Section-3,Section-4,Section-1,Section-23,Section-25
,278,M,,,,,Section-1,Section-20,Section-11,Section-21,Section-25,Section-17
,279,F,Y,,,,Section-16,Section-9,Section-14,Section-3,Section-1,Section-27
,280,F,,,,,Section-18,Section-8,Section-7,Section-16,Section-20,Section-12
,281,M,Y,,,,Section-29,Section-32,Section-5,Section-8,Section-28,Section-27
,282,M,,,,,Section-11,Section-6,Section-34,Section-30,Section-8,Section-25
,283,M,,,,,Section-28,Section-19,Section-17,Section-16,Section-10,Section-21
,284,F,Y,,,,Section-2,Section-3,Section-26,Section-4,Section-17,Section-11
,285,F,,,,,Section-27,Section-28,Section-3,Section-12,Section-33,Section-29
,286,M,,,,,Section-33,Section-35,Section-10,Section-4,Section-14,Section-28
,287,M,,,,,Section-35,Section-4,Section-3,Section-22,Section-24,Section-7
,288,F,,,,,Section-7,Section-4,Section-3,Section-1,Section-15,Section-6
Section-2,289,F,,,,,Section-27,Section-19,Section-20,Section-6,Section-2,Section-25
,290,M,,,,,Section-32,Section-7,Section-34,Section-13,Section-35,Section-12
,291,M,,,,,Section-20,Section-27,Section-25,Section-6,Section-34,Section-16
Section-5,292,F,,,,,Section-18,Section-12,Section-14,Section-32,Section-11,Section-10
,293,M,,,,,Section-20,Section-30,Section-8,Section-25,Section-17,Section-21
,294,F,,,,,Section-4,Section-10,Section-31,Section-9,Section-27,Section-30
,295,M,,,,,Section-21,Section-2,Section-5,Section-23,Section-29,Section-20
,296,M,,,,,Section-6,Section-32,Section-27,Section-35,Section-17,Section-13
,297,F,Y,,,,Section-10,Section-26,Section-33,Section-29,Section-12,Section-5
,298,F,,,,,Section-21,Section-10,Section-30,Section-19,Section-3,Section-23
,299,F,,,,,Section-22,Section-21,Section-9,Section-20,Section-28,Section-8
,300,F,,,,,Section-34,Section-29,Section-1,Section-13,Section-3,Section-24
,301,M,,,,,Section-22,Section-8,Section-18,Section-3,Section-31,Section-33
,302,M,,,,,Section-18,Section-31,Section-3,Section-13,Section-30,Section-33
,303,M,Y,,,,Section-18,Section-30,Section-21,Section-19,Section-23,Section-4
,304,F,,,,,Section-23,Section-16,Section-31,Section-33,Section-34,Section-2
,305,M,,,,,Section-16,Section-23,Section-5,Section-6,Section-2,Section-21
,306,M,,,,,Section-7,Section-26,Section-5,Section-16,Section-23,Section-18
,307,F,Y,,,,Section-5,Section-8,Section-11,Section-30,Section-23,Section-21
,308,F,,,,,Section-9,Section-2,Section-24,Section-15,Section-5,Section-17
Section-28,309,M,,,,,Section-17,Section-5,Section-14,Section-32,Section-25,Section-18
,310,M,,,,,Section-26,Section-24,Section-33,Section-15,Section-9,Section-16
,311,M,Y,,,,Section-27,Section-28,Section-29,Section-13,Section-8,Section-2
,312,F,,,,,Section-11,Section-4,Section-5,Section-13,Section-31,Section-3
,313,F,,,,,Section-23,Section-13,Section-27,Section-22,Section-33,Section-6
,314,M,,,,,Section-32,Section-17,Section-23,Section-31,Section-15,Section-12
,315,F,,,,,Section-8,Section-35,Section-14,Section-19,Section-30,Section-3
Section-4,316,F,,,,,Section-30,Section-32,Section-27,Section-29,Section-17,Section-19
,317,M,,,,,Section-17,Section-27,Section-11,Section-35,Section-6,Section-24
,318,F,,,,,Section-15,Section-10,Section-11,Section-26,Section-24,Section-3
,319,M,,,,,Section-5,Section-6,Section-3,Section-19,Section-9,Section-34
Section-28,320,M,,,,,Section-20,Section-24,Section-12,Section-9,Section-32,Section-2
,321,F,Y,,,,Section-22,Section-5,Section-35,Section-27,Section-16,Section-15
,322,M,,,,,Section-18,Section-23,Section-6,Section-13,Section-4,Section-19
,323,F,,,,,Section-23,Section-25,Section-8,Section-14,Section-6,Section-33
Section-20,324,M,,,,,Section-26,Section-18,Section-23,Section-6,Section-11,Section-31
,325,F,,,,,Section-30,Section-23,Section-28,Section-21,Section-20,Section-16
,326,M,,,,,Section-3,Section-24,Section-7,Section-23,Section-1,Section-22
,327,M,,,,,Section-2,Section-18,Section-5,Section-12,Section-35,Section-20
,328,F,,,,,Section-3,Section-19,Section-31,Section-5,Section-6,Section-26
,329,M,,,,,Section-2,Section-4,Section-32,Section-7,Section-5,Section-23
,330,F,,,,,Section-13,Section-3,Section-20,Section-7,Section-31,Section-33
,331,M,,,,,Section-5,Section-13,Section-9,Section-25,Section-17,Section-3
,332,M,,,,,Section-21,Section-17,Section-5,Section-8,Section-28,Section-4
,333,F,,,,,Section-9,Section-11,Section-5,Section-10,Section-34,Section-25
,334,F,,,,,Section-26,Section-28,Section-11,Section-30,Section-18,Section-7
,335,F,,,,,Section-34,Section-33,Section-21,Section-3,Section-23,Section-14
,336,M,,,,,Section-9,Section-15,Section-20,Section-7,Section-23,Section-33
,337,M,Y,,,,Section-27,Section-4,Section-6,Section-14,Section-25,Section-16
,338,F,,,,,Section-26,Section-34,Section-31,Section-32,Section-2,Section-29
,339,M,Y,,,,Section-19,Section-28,Section-1,Section-30,Section-20,Section-3
,340,F,,,,,Section-1,Section-20,Section-25,Section-27,Section-16,Section-14
,341,M,,,,,Section-19,Section-21,Section-27,Section-24,Section-6,Section-1
,342,F,Y,,,,Section-35,Section-11,Section-31,Section-4,Section-23,Section-18
,343,M,,,,,Section-30,Section-5,Section-1,Section-3,Section-17,Section-16
Section-35,344,F,,,,,Section-10,Section-21,Section-6,Section-16,Section-22,Section-24
,345,F,Y,,,,Section-25,Section-4,Section-14,Section-32,Section-34,Section-26
